Sexo,Estatura ,Peso,Pie,Ibrazo,anchoes,dcraneo,Irodtob,
"0,00","159,00","49,00","36,00","68,00","42,00","57,00","40,00","Sexo:      1 hombre, 0 mujer"
"1,00","164,00","62,00","39,00","73,00","44,00","55,00","44,00",Estatura: medida en centímetros
"0,00","172,00","65,00","38,00","75,00","48,00","58,00","44,00",Peso:      medida en kilos
"0,00","167,00","52,00","37,00","73,00","41,50","58,00","44,00",Pie:         número de calzado
"0,00","164,00","51,00","36,00","71,00","44,50","54,00","40,00",lbrazo:     longitud de brazo en centímetros
"0,00","161,00","67,00","38,00","71,00","44,00","56,00","42,00",anchoes: ancho de espalda en centímetros
"0,00","168,00","48,00","39,00","72,50","41,00","54,50","43,00",dcraneo:  diámetro del cráneo en centímetros
"1,00","181,00","74,00","43,00","74,00","50,00","60,00","47,00",lrodtob:    longitud de la rodilla al tobillo en centímetros
"1,00","183,00","74,00","41,00","79,00","47,50","59,50","47,00",
"0,00","158,00","50,00","36,00","68,50","44,00","57,00","41,00",
"0,00","156,00","65,00","36,00","68,00","46,00","58,00","41,00",
"1,00","173,00","64,00","40,00","79,00","48,00","56,50","47,00",
"0,00","158,00","43,00","36,00","68,00","43,00","55,00","39,00",
"1,00","178,00","74,00","42,00","75,00","50,00","59,00","45,00",
"1,00","181,00","76,00","43,00","83,00","51,00","57,00","43,00",
"1,00","182,00","91,00","41,00","83,00","53,00","59,00","43,00",
"1,00","176,00","73,00","42,00","78,00","48,00","58,00","45,00",
"0,00","162,00","68,00","39,00","72,00","44,00","59,00","42,00",
"0,00","156,00","52,00","36,00","67,00","36,00","56,00","41,00",
"0,00","152,00","45,00","34,00","66,00","40,00","55,00","38,00",
"1,00","181,00","80,00","43,00","76,00","49,00","57,00","46,00",
"1,00","173,00","69,00","36,00","74,00","48,00","56,00","44,00",
"0,00","155,00","53,00","36,00","67,00","43,00","56,00","38,00",
"1,00","189,00","87,00","45,00","82,00","53,00","61,00","52,00",
"0,00","170,00","70,00","38,00","73,00","45,00","56,00","43,00",
"1,00","170,00","67,00","40,00","77,00","46,50","58,00","44,50",
"0,00","168,00","56,00","37,50","70,50","48,00","60,00","40,00",
"0,00",155,61,35,65,51,38,34,
"0,00",145,62,37,62,52,35,37,
"0,00",122,26,30,52,49,26,29,
"1,00",175,72,42,71,52,39,42,
"1,00",176,74,42,78,54,42,38,
"1,00",163,65,39,59,43,56,42,
"0,00",154,"51,5",36,56,42,54,41,
"1,00",167,64,38,56,46,56,41,
"1,00",171,65,40,57,40,57,42,
"1,00",187,83,41,61,44,57,49,
"0,00",174,70,25,70,38,55,39,
"1,00",172,75,27,72,42,57,41,
"0,00",156,60,23,65,36,54,36,
"0,00",150,55,22,63,35,54,35,
"1,00",160,65,26,68,40,56,39,
"1,00",175,72,42,76,42,57,47,
"1,00",168,68,39,73,40,56,45,
"1,00",180,76,41,79,44,61,49,
"1,00",172,74,40,75,41,57,46,
"0,00",160,58,36,70,38,55,43,
"1,00",178,75,27,70,45,58,50,
"0,00",165,60,24,64,39,55,46,
"1,00",185,82,29,74,48,60,56,
"1,00",172,70,26,60,43,57,48,
"0,00",160,55,23,68,37,54,44,
"0,00",154,56,35,53,40,55,37,
"0,00",155,48,36,54,41,55,38,
"1,00",113,20,28,34,29,52,28,
"0,00",156,65,37,57,38,55,40,
"1,00",170,68,39,60,44,56,44,
"0,00",152,61,36,52,33,55,35,
"1,00",181,60,42,60,39,56,42,
"0,00",166,59,37,56,36,54,41,
"0,00",167,71,37,61,37,56,38,
"0,00",158,69,38,54,38,55,38,
"0,00","145,0","56,0","35,0","52,0","42,0","55,0","41,0",
"0,00","156,0","55,0","36,0","58,0","42,0","57,0","43,0",
"1,00","170,0","69,0","41,0","69,0","44,0","58,0","54,0",
"1,00","170,0","68,0","38,0","63,0","44,0","58,0","41,0",
"1,00","174,0","63,0","39,0","57,0","46,0","55,0","46,0",
"1,00",175,63,41,68,45,57,47,
"0,00",158,53,38,55,44,57,39,
"0,00",151,53,34,58,47,51,42,
"0,00",154,58,37,58,40,52,42,
"0,00",151,50,36,54,46,57,40,
"0,00",168,65,38,56,46,53,40,
"1,00",167,56,38,55,50,52,40,
"0,00",152,54,24,48,50,50,38,
"1,00",165,69,37,54,40,55,39,
"1,00",168,75,39,56,47,54,42,
"1,00",158,55,35,50,40,55,43,
"1,00",161,54,36,55,38,55,43,
"1,00",165,60,37,56,39,56,44,
"1,00",150,55,34,46,35,55,37,
"1,00",160,55,37,57,38,54,39,
"1,00",171,70,40,68,44,58,45,
"0,00",155,57,36,57,40,51,40,
"1,00",170,68,38,66,45,58,43,
"1,00",163,56,36,56,39,57,41,
"0,00",166,62,37,48,37,57,44,
"1,00",168,63,40,70,41,55,44,
"0,00",154,58,35,65,40,54,38,
"1,00",170,77,39,69,44,57,41,
"1,00",180,66,39,77,44,58,49,
"1,00",173,66,38,70,45,55,47,
"0,00",143,73,35,55,47,52,37,
"1,00",164,67,38,65,43,56,39,
"1,00",166,65,38,66,40,57,40,
"1,00",172,70,41,69,45,58,44,
"0,00",156,60,36,64,42,54,38,
"0,00",154,60,34,55,43,54,34,
"0,00",157,65,35,57,43,52,38,
"1,00",170,68,40,69,48,56,46,
"1,00",168,70,39,68,44,57,44,
"0,00",163,61,37,56,43,56,38,
"0,00",150,42,36,64,33,53,36,
"0,00",153,42,36,66,39,54,41,
"1,00",160,42,38,66,33,55,44,
"1,00",160,48,37,86,61,86,56,
"1,00",165,68,39,69,42,56,44,
"1,00",160,53,37,51,42,57,40,
"1,00",174,78,41,68,44,54,47,
"1,00",170,55,38,50,44,54,42,
"0,00",157,49,36,47,38,57,38,
"1,00",179,88,42,52,48,58,42,
"0,00",156,66,37,68,45,55,43,
"1,00",170,76,38,73,39,57,42,
"0,00",150,57,337,68,40,54,40,
"1,00",167,70,40,74,46,55,41,
"1,00",159,75,37,69,49,55,36,
"1,00",186,81,46,81,42,60,57,
"0,00",154,60,36,64,36,52,36,
"1,00",165,67,39,67,38,55,38,
"1,00",163,68,38,69,44,56,37,
"1,00",174,65,39,69,42,57,44,
"0,00","153,2",44,36,"49,5",36,"55,3",38,
"0,00","150,6",71,36,51,33,"54,5",36,
"1,00","169,6",65,38,54,42,"56,8",41,
"1,00",177,68,42,56,38,"55,5",43,
"0,00",152,50,34,48,33,"54,5","37,5",
"1,00",174,66,37,61,36,57,47,
"0,00",162,65,35,58,34,55,35,
"1,00",178,78,40,63,38,58,50,
"0,00",177,68,39,60,35,55,44,
"1,00",180,82,41,64,39,59,51,
"0,00",164,73,38,53,38,55,40,
"0,00",158,95,38,51,38,48,41,
"1,00",175,75,40,55,43,53,43,
"1,00",172,72,40,53,40,53,42,
"1,00",170,70,39,53,40,53,42,
"1,00",163,68,38,52,46,55,35,
"0,00",152,58,37,53,41,54,35,
"0,00",149,56,35,46,35,56,37,
"0,00",140,56,34,44,36,53,29,
"0,00",155,54,37,54,35,52,38,
"1,00",165,60,38,"50,5",39,"53,5",40,
"1,00",170,70,39,60,45,56,50,
"1,00",175,80,43,62,47,57,52,
"0,00",160,55,36,58,40,54,48,
"0,00",155,50,34,55,38,53,45,
"1,00",165,65,37,59,42,55,49,
"0,00",160,54,34,46,50,54,35,
"1,00",180,70,43,54,70,56,44,
"0,00",160,65,36,51,39,54,38,
"1,00",180,78,39,53,52,58,50,
"0,00",160,48,38,52,35,52,42,
"1,00",167,67,38,52,48,57,42,
"1,00",182,74,42,58,52,55,42,
"0,00",154,65,35,50,37,55,40,
"1,00",164,55,38,53,45,53,42,
"1,00",175,88,40,59,48,58,48,
"0,00",160,60,37,52,38,58,40,
"0,00",160,63,37,51,37,58,39,
"0,00",155,50,35,50,42,54,39,
"1,00",160,70,39,52,45,56,41,
"1,0",157,"55,0","35,0","50,0","40,0","55,0","43,0",
"1,0",160,"55,0","37,0","57,0","38,0","54,0","39,0",
"0,0",155,"57,0","36,0","57,0","39,0","51,0","40,0",
"1,0",171,"68,0","38,0","66,0","45,0","58,0","43,0",
"0,0",154,"58,0","35,0","65,0","40,0","54,0","38,0",
"1,0",170,"66,0","38,0","70,0","45,0","55,0","46,0",
"0,00",157,"56,0","36,0","58,0","40,0","52,0","40,0",
"1,00",170,"69,0","40,0","69,0","44,0","58,0","54,0",
"1,00",176,"63,0","41,0","69,0","45,0","57,0","46,0",
"0,00",151,"53,0","34,0","58,0","47,0","51,0","42,0",
"0,00",150,"50,0","35,0","60,0","40,0","57,0","41,0",
"0,00",158,52,35,57,39,53,47,
"0,00",152,48,34,54,37,52,44,
"1,00",172,73,40,61,44,55,51,
"1,00",178,85,43,63,46,58,53,
"1,00",168,67,37,60,41,56,48,
"0,00",168,48,39,72,41,54,43,
"0,00",158,55,35,60,43,59,41,
"1,00",173,69,41,74,48,56,44,
"0,00",165,60,38,67,42,55,36,
"1,00",175,81,35,53,41,58,42,
"1,00",170,65,40,72,40,56,43,
"1,00",180,78,43,76,44,58,47,
"1,00",165,60,38,69,38,55,41,
"1,00",185,85,44,78,46,59,49,
"1,00",175,70,42,74,42,57,45,
"1,00",163,70,38,50,40,57,43,
"0,00",176,64,37,46,36,54,40,
"0,00",160,48,38,44,38,55,42,
"1,00",167,56,41,52,42,53,45,
"0,00",173,76,40,54,38,51,53,
"1,00",175,72,27,72,42,53,50,
"0,00",160,58,24,67,38,51,46,
"1,00",182,80,28,75,45,49,52,
"0,00",168,63,25,69,39,47,48,
"1,00",170,70,26,71,41,52,49,
"1,00","181,00","80,00","43,00","76,00","49,00","57,00","46,00",
"1,00","173,00","69,00","36,00","74,00","48,00","56,00","44,00",
"0,00","155,00","53,00",36,"67,00","43,00","56,00","38,00",
"1,00","189,00","87,00","45,00","82,00","53,00","61,00","52,00",
"1,00","170,00","70,00","38,00","73,00","45,00","56,00","43,00",
